# EMShieldDesigner - Frequency Sweep Results
# Single-section enclosure with aperture
#
f_GHz,SE_dB,Trans,V1_real,V1_imag,V2_real,V2_imag,|V1|,|V2|
2.710000000,inf,0.000000000,-0.268894008,0.443384732,0.000000000,0.000000000,0.518549909,0.000000000
2.805000000,inf,0.000000000,-0.210770116,0.407855458,0.000000000,0.000000000,0.459097066,0.000000000
2.900000000,inf,0.000000000,-0.162506653,0.368914950,0.000000000,0.000000000,0.403121139,0.000000000
2.995000000,inf,0.000000000,-0.122738847,0.328137200,0.000000000,0.000000000,0.350341043,0.000000000
3.090000000,7.127824,0.729585930,-0.090992320,0.287598188,0.209827591,0.066386716,0.301649333,0.220079109
3.185000000,10.069087,0.512225555,-0.093779700,0.291521985,0.149325010,0.048036359,0.306234713,0.156861246
3.280000000,8.340417,0.962108598,-0.039577659,0.194964787,0.187577298,0.038078006,0.198941346,0.191403180
3.375000000,-3.535067,3.459668693,-0.047138713,0.211935498,-0.733226606,-0.163084331,0.217114517,0.751144297
3.470000000,15.137561,0.721250364,-0.014723525,0.120443941,-0.086870236,-0.010619348,0.121340533,0.087516904
3.565000000,22.468254,0.513847508,-0.005363473,0.073039074,-0.037530946,-0.002756007,0.073235737,0.037632001
3.660000000,27.599434,0.523926470,-0.001582909,0.039754289,-0.020828324,-0.000829328,0.039785790,0.020844828
3.755000000,50.157237,0.726346174,-0.000004570,-0.002137782,0.001552770,-0.000003319,0.002137787,0.001552774
3.850000000,15.603427,1.852047043,-0.002005826,-0.044741512,0.082863384,-0.003714884,0.044786451,0.082946614
3.945000000,8.327794,2.589911582,-0.005477605,-0.073807862,-0.191155837,0.014186512,0.074010842,0.191681536
4.040000000,13.832022,0.829817258,-0.015023562,-0.121646432,-0.100944308,0.012466811,0.122570640,0.101711232
4.135000000,13.717484,0.565068670,-0.033265123,-0.179328064,-0.101332670,0.018797079,0.182387288,0.103061342
4.230000000,5.629677,0.500791926,-0.272682784,0.445339065,0.223022208,0.136557336,0.522190371,0.261508722
4.325000000,12.802080,0.534750447,-0.045859536,-0.209180398,-0.111859311,0.024523407,0.214148397,0.114515951
4.420000000,7.443711,0.698347749,-0.092347566,-0.289515963,-0.202182822,0.064490715,0.303887423,0.212219098
4.515000000,-1.699728,1.298686258,-0.219232208,-0.413726295,-0.537300653,0.284713855,0.468222391,0.608073985
4.610000000,-8.364503,530.539290954,-0.000006095,-0.002468745,1.309766306,-0.003233499,0.002468753,1.309770298
4.705000000,0.747369,1.311504132,-0.122366860,-0.327709035,0.429791754,-0.160484643,0.349809749,0.458776931
4.800000000,2.560585,0.713869164,-0.272047177,-0.445014057,0.317681812,-0.194206091,0.521581420,0.372340892
4.895000000,0.764723,0.546343073,-0.702322909,-0.457236744,0.249808128,-0.383709256,0.838047081,0.457861217
4.990000000,19.126091,0.500386215,-0.012210128,0.109822770,-0.054953800,-0.006109780,0.110499448,0.055292401
5.085000000,6.442494,0.528924619,-0.202723026,-0.402027860,0.212642433,-0.107225199,0.450247738,0.238147114
5.180000000,0.277141,0.653774134,-0.548744892,-0.497618263,0.325329949,-0.358755216,0.740773172,0.484298339
5.275000000,-6.260404,1.031109238,-0.993964901,-0.077451124,0.079860569,-1.024886392,0.996977884,1.027993106
5.370000000,-8.645401,3.461761131,-0.152716474,0.359713987,-1.245243898,-0.528667952,0.390789552,1.352820080
5.465000000,-6.141799,2.359904035,-0.184642330,-0.388007139,-0.915659612,0.435738179,0.429700279,1.014051422
5.560000000,-4.415479,0.927649689,-0.803008125,-0.397726132,-0.368950522,0.744910237,0.896107206,0.831273571
5.655000000,-1.624107,0.627258085,-0.923545176,0.265724451,0.166677810,0.579301179,0.961012578,0.602802910
5.750000000,4.597409,0.522947111,-0.317163786,0.465371807,0.243364842,0.165859886,0.563172963,0.294509674
5.845000000,18.060144,0.500662396,-0.015589624,-0.123881347,-0.062022732,0.007805139,0.124858418,0.062511915
5.940000000,-0.297247,0.542441974,-0.909825574,-0.286431490,-0.155372463,0.493527581,0.953847773,0.517407069
6.035000000,-1.217035,0.678986203,-0.717664758,0.450135594,0.305635858,0.487284469,0.847150966,0.575203818
6.130000000,-1.592499,1.073229932,-0.313187485,0.463789914,0.497753218,0.336122184,0.559631562,0.600613344
6.225000000,-4.499335,3.503225321,-0.057403365,0.232611735,0.814891319,0.201096923,0.239589994,0.839337735
6.320000000,-11.901031,2.559304912,-0.591287999,-0.491595872,1.258143730,-1.513286279,0.768952533,1.967983996
6.415000000,-2.655536,0.980711276,-0.479083587,0.499562312,-0.489926393,-0.469842676,0.692158643,0.678807786
6.510000000,4.492871,0.653093574,-0.208306132,0.406096894,-0.265219272,-0.136043396,0.456405666,0.298075608
6.605000000,9.689000,0.534894962,-0.093864847,0.291640597,-0.155997086,-0.050207834,0.306373705,0.163877751
6.700000000,25.099762,0.500207719,-0.003087898,0.055482999,-0.027753025,-0.001544591,0.055568861,0.027795973
6.795000000,5.243772,0.524090570,-0.272113491,0.445048019,-0.233245470,-0.142612115,0.521644986,0.273389218
6.890000000,8.660265,0.621727354,-0.088046803,0.283362953,-0.176174499,-0.054741106,0.296726815,0.184483177
6.985000000,8.534561,0.881212573,-0.045115162,0.207556700,-0.182901574,-0.039756048,0.212403300,0.187172458
7.080000000,5.401414,1.852070311,-0.021012788,0.143426815,-0.265636545,-0.038917162,0.144957885,0.268472195
7.175000000,-21.613094,8.988201350,-0.448646048,-0.497355780,-4.470333890,4.032521010,0.669810456,6.020391248
7.270000000,10.699223,1.335460547,-0.011933164,0.108585282,0.145011360,0.015936269,0.109239021,0.145884403
7.365000000,20.974994,0.766203410,-0.003402142,0.058228583,0.044614939,0.002606733,0.058327887,0.044691026
7.460000000,34.112862,0.580681010,-0.000287593,0.016956133,0.009846104,0.000167000,0.016958572,0.009847520
7.555000000,31.945315,0.511000794,-0.000611738,-0.024725769,-0.012634888,0.000312599,0.024733335,0.012638754
7.650000000,25.695830,0.503438200,-0.002657447,-0.051481892,-0.025917951,0.001337860,0.051550433,0.025952457
7.745000000,19.316002,0.552902694,-0.009572874,-0.097371630,-0.053837036,0.005292868,0.097841066,0.054096589
7.840000000,13.825117,0.692710819,-0.021593566,-0.145352274,-0.100687093,0.014958097,0.146947493,0.101792118
7.935000000,6.621689,1.075142280,-0.047080302,-0.211810640,-0.227726575,0.050618024,0.216979958,0.233284327
8.030000000,-11.358302,3.106912927,-0.354088710,-0.478236234,-1.485838338,1.100122791,0.595053536,1.848779522
8.125000000,-0.002862,3.142069431,-0.025339302,-0.157153497,0.493787198,-0.079617845,0.159183233,0.500164771
8.220000000,4.509814,1.081394129,-0.075681649,-0.264488065,0.286015841,-0.081841691,0.275102978,0.297494746
8.315000000,5.361788,0.696365717,-0.149998336,-0.357069790,0.248651161,-0.104453699,0.387296187,0.269699787
8.410000000,3.432279,0.555311154,-0.367823392,-0.482212966,0.267778238,-0.204256432,0.606484453,0.336787582
8.505000000,5.984638,0.504315063,-0.247783442,0.431725385,-0.217725615,-0.124960922,0.497778507,0.251037199
8.600000000,11.868577,0.508948083,-0.062767569,-0.242544431,0.123442523,-0.031945434,0.250534566,0.127509087
8.695000000,5.264486,0.571633764,-0.227643737,-0.419311419,0.239692565,-0.130128847,0.477120255,0.272738047
8.790000000,-0.462774,0.735866100,-0.513593907,-0.499815172,0.367797041,-0.377936346,0.716654664,0.527361873
8.885000000,-7.597190,1.200069016,-0.998266674,-0.041597139,0.049919437,-1.197988905,0.999132961,1.199028509
8.980000000,-7.904619,4.438415862,-0.078333218,0.268695227,-1.192581159,-0.347675398,0.279880721,1.242227034
9.075000000,-4.724052,2.473524245,-0.121258681,-0.326427654,-0.807426717,0.299936288,0.348222172,0.861335986
9.170000000,-3.523435,1.007030345,-0.554879135,-0.496979155,-0.500473090,0.558780127,0.744902098,0.750139017
9.265000000,-2.566119,0.674365661,-0.992569625,-0.085878780,-0.057913700,0.669354871,0.996277885,0.671855595
9.360000000,1.456535,0.547671986,-0.595998870,0.490697684,0.268741375,0.326411885,0.772009631,0.422808048
9.455000000,13.338302,0.502792097,-0.045849325,0.209158228,0.105163104,0.023052678,0.214124555,0.107660134
9.550000000,6.253937,0.511133727,-0.226713436,-0.418705689,-0.214014599,0.115880884,0.476144344,0.243373433
9.645000000,-1.205934,0.577250194,-0.990387611,-0.097570439,-0.056322555,0.571701440,0.995182200,0.574469118
9.740000000,-1.680706,0.746744802,-0.660185848,0.473645958,0.353692657,0.492990350,0.812518214,0.606743753
9.835000000,-2.088671,1.225963748,-0.269061677,0.443472086,0.543680701,0.329859862,0.518711555,0.635921562
9.930000000,-4.684566,4.688083390,-0.033450759,0.179810473,0.842966491,0.156819950,0.182895488,0.857429298
10.025000000,-10.789111,2.443552352,-0.502120324,-0.499995504,1.221765190,-1.226957298,0.708604490,1.731512169
10.120000000,-3.744515,1.008540953,-0.582109206,0.493212001,-0.497424502,-0.587080973,0.762960815,0.769477228
10.215000000,3.458864,0.676905127,-0.246035657,0.430699562,-0.291542741,-0.166542797,0.496019815,0.335758355
10.310000000,8.597738,0.549482071,-0.114356054,0.318243220,-0.174868943,-0.062836601,0.338165720,0.185816000
10.405000000,16.102113,0.503372425,-0.024207497,0.153692857,-0.077364746,-0.012185387,0.155587587,0.078318501
10.500000000,0.405386,0.509733846,-0.876424435,0.329096710,-0.167751732,-0.446743198,0.936175430,0.477200302
10.595000000,7.754844,0.571963785,-0.128149968,0.334256718,-0.191182737,-0.073297140,0.357980401,0.204751825
10.690000000,8.853648,0.731424122,-0.060846645,0.239048804,-0.174846062,-0.044504704,0.246671127,0.180421212
10.785000000,7.662594,1.169280471,-0.031321546,0.174185266,-0.203671430,-0.036623672,0.176978943,0.206938022
10.880000000,2.114222,3.820466848,-0.010526523,0.102057411,-0.389906955,-0.040216231,0.102598844,0.391975483
10.975000000,0.391240,2.806303209,-0.029009936,0.167834322,0.470993997,0.081410677,0.170323035,0.477978079
11.070000000,15.232321,1.063837084,-0.006621520,0.081102869,0.086280240,0.007044218,0.081372722,0.086567319
11.165000000,25.900066,0.697521272,-0.001320743,0.036318028,0.025332597,0.000921247,0.036342035,0.025349342
11.260000000,46.392349,0.558506288,-0.000018393,-0.004288649,-0.002395237,0.000010273,0.004288689,0.002395260
11.355000000,25.554377,0.505853129,-0.002719277,-0.052075738,-0.026342675,0.001375555,0.052146687,0.026378565
11.450000000,23.173500,0.506232563,-0.004697749,-0.068378947,-0.034615650,0.002378154,0.068540129,0.034697245
11.545000000,17.650806,0.559744659,-0.013705013,-0.116263432,-0.065077835,0.007671308,0.117068412,0.065528418
11.640000000,12.476280,0.700016848,-0.028846625,-0.167375319,-0.117165543,0.020193124,0.169842943,0.118892921
11.735000000,5.492234,1.068871742,-0.061782496,-0.240760087,-0.257341653,0.066037564,0.248560850,0.265679669
11.830000000,-11.536552,2.821402384,-0.447368286,-0.497222186,-1.402863862,1.262205947,0.668855953,1.887111779
11.925000000,-1.086921,3.848330854,-0.021681401,-0.145641057,0.560474974,-0.083437203,0.147246055,0.566651536
12.020000000,3.572551,1.177424770,-0.079217033,-0.270077201,0.317995586,-0.093272096,0.281455205,0.331392330
12.115000000,4.589962,0.736133047,-0.160336054,-0.366917435,0.270100049,-0.118028668,0.400419848,0.294762283
12.210000000,3.118365,0.574885113,-0.368927779,-0.482514324,0.277390302,-0.212091088,0.607394254,0.349181914
12.305000000,1.085674,0.511047935,-0.745502810,0.435578202,-0.222601341,-0.380987672,0.863425046,0.441251587
12.400000000,15.889823,0.502477938,-0.025510780,-0.157670479,0.079225937,-0.012818604,0.159720944,0.080256250
12.495000000,6.455034,0.544446265,-0.190777230,-0.392913831,0.213920468,-0.103867950,0.436780529,0.237803527
12.590000000,0.929058,0.661734915,-0.460963016,-0.498473785,0.329857507,-0.305035322,0.678942572,0.449280005
12.685000000,-5.359202,0.957657536,-0.936353288,-0.244122526,0.233785777,-0.896705783,0.967653496,0.926680663
12.780000000,-8.253318,2.084542821,-0.384813380,0.486551172,-1.014236752,-0.802159969,0.620333281,1.293111288
12.875000000,-5.777150,7.728362060,-0.015829971,-0.124817397,-0.964634037,0.122339744,0.125817211,0.972360961
12.970000000,-4.440905,1.377089293,-0.366527288,-0.481855824,-0.663558496,0.504740804,0.605414972,0.833710476
13.065000000,-3.648989,0.796866643,-0.912152823,-0.283072518,-0.225571047,0.726864158,0.955066921,0.761060971
13.160000000,-0.725190,0.600097076,-0.820381671,0.383869229,0.230358802,0.492308642,0.905749232,0.543537466
13.255000000,5.824712,0.520181762,-0.241634294,0.428073781,0.222676174,0.125693753,0.491563113,0.255702166
13.350000000,24.988205,0.500180633,-0.003168588,-0.056200958,-0.028110631,0.001584866,0.056290209,0.028155272
13.445000000,1.247966,0.529082524,-0.670033597,-0.470200570,-0.248774904,0.354503066,0.818555799,0.433083568
13.540000000,-1.215342,0.623004180,-0.852103370,0.354997488,0.221164919,0.530863961,0.923094454,0.575091703
13.635000000,-0.710297,0.853877640,-0.403811234,0.490660495,0.418964025,0.344805384,0.635461434,0.542606310
13.730000000,-1.753478,1.591021016,-0.147889029,0.354989949,0.564796470,0.235294553,0.384563426,0.611848493
13.825000000,-5.913193,35.992610500,-0.000753065,0.027431698,0.987338438,0.027104782,0.027442033,0.987710413
13.920000000,-10.806027,1.738105265,-0.996300995,0.060706855,-0.105514905,-1.731676005,0.998148784,1.734887657
14.015000000,-0.187520,0.888928755,-0.330337631,0.470334647,-0.418093992,-0.293646619,0.574750060,0.510911855
14.110000000,6.061166,0.636860478,-0.152663369,0.359662710,-0.229054966,-0.097225266,0.390721601,0.248835146
14.205000000,10.857786,0.534761986,-0.071753041,0.258078558,-0.138010602,-0.038370799,0.267867581,0.143245400
14.300000000,21.194789,0.500820773,-0.007570009,0.086675856,-0.043409069,-0.003791218,0.087005799,0.043574311
14.395000000,5.710441,0.515772123,-0.252336582,0.434353349,-0.224027349,-0.130148175,0.502331148,0.259088403
14.490000000,10.512822,0.587593044,-0.064343469,0.245363784,-0.144174053,-0.037807775,0.253660144,0.149048936
14.585000000,11.335682,0.764636737,-0.031438475,0.174499561,-0.133428775,-0.024039013,0.177308981,0.135576960
14.680000000,10.154690,1.260728612,-0.015178462,0.122262326,-0.154139613,-0.019135921,0.123200901,0.155322901
14.775000000,3.756167,4.864709036,-0.004448459,0.066548252,-0.323737881,-0.021640457,0.066696766,0.324460360
14.870000000,9.934902,2.494649211,-0.004077846,0.063727681,0.158978208,0.010172796,0.063858015,0.159303347
14.965000000,30.134563,1.030725889,-0.000228138,0.015102509,0.015566548,0.000235148,0.015104232,0.015568323
15.060000000,29.009043,0.689633865,-0.000660387,-0.025689511,-0.017716357,0.000455425,0.025697997,0.017722209
15.155000000,22.161313,0.556689290,-0.004904367,-0.069859244,-0.038889893,0.002730208,0.070031184,0.038985610
15.250000000,15.676372,0.505737676,-0.026451617,-0.160474075,-0.081157786,0.013377579,0.162639530,0.082252938
15.345000000,19.662179,0.505955660,-0.010555948,-0.102198432,-0.051707875,0.005340841,0.102742141,0.051982968
15.440000000,14.490136,0.557416670,-0.028613206,-0.166716796,-0.092930721,0.015949478,0.169154384,0.094289474
15.535000000,9.736179,0.691182730,-0.055607879,-0.229162918,-0.158393451,0.038435206,0.235813229,0.162990031
15.630000000,2.995584,1.034274140,-0.117249299,-0.321717113,-0.332743690,0.121267918,0.342416849,0.354152892
15.725000000,-13.032700,2.510561366,-0.797385525,-0.401947570,-1.009114041,2.001885294,0.892964459,2.241842072
15.820000000,-2.649105,4.839471908,-0.019645115,-0.138777464,0.671609639,-0.095071982,0.140161033,0.678305380
15.915000000,1.856485,1.261812656,-0.102400413,-0.303174155,0.382548986,-0.129210137,0.320000645,0.403780864
16.010000000,2.866544,0.765908238,-0.220258224,-0.414420727,0.317408249,-0.168697588,0.469316763,0.359453575
16.105000000,1.543657,0.588557951,-0.505819789,-0.499966129,0.294259041,-0.297704259,0.711210088,0.418588353
16.200000000,0.827644,0.516301750,-0.775119140,0.417503843,-0.215557965,-0.400195369,0.880408508,0.454556453
16.295000000,20.454895,0.500669329,-0.008981493,-0.094344186,0.047235240,-0.004496758,0.094770737,0.047448801
16.390000000,6.378508,0.533314232,-0.202359166,-0.401758552,0.214263553,-0.107921023,0.449843490,0.239907935
16.485000000,0.615953,0.632365611,-0.542510588,-0.498189572,0.315037953,-0.343065039,0.736553181,0.465770902
16.580000000,-4.784546,0.874765737,-0.983130274,-0.128783299,0.112655217,-0.860008679,0.991529260,0.867355825
16.675000000,-7.109011,1.665033733,-0.463441624,0.498661694,-0.830288542,-0.771645937,0.680765469,1.133497470
16.770000000,-6.166811,307.136430957,-0.000010964,0.003311135,-1.016970056,-0.003367362,0.003311153,1.016975631
16.865000000,-5.646500,1.682749429,-0.324004549,-0.468001711,-0.787529611,0.545218470,0.569213975,0.957844491
16.960000000,-4.674916,0.879167174,-0.949049043,-0.219897606,-0.193326757,0.834372765,0.974191482,0.856477172
17.055000000,-0.938058,0.634220165,-0.771375348,0.419946926,0.266338809,0.489221801,0.878279766,0.557022739
17.150000000,4.880096,0.534144467,-0.284847844,0.451341943,0.241081802,0.152149900,0.533711386,0.285078984
17.245000000,19.426049,0.500796050,-0.011376621,0.106052784,0.053110815,0.005697367,0.106661242,0.053415529
17.340000000,2.862504,0.515605047,-0.486469158,-0.499816883,-0.257708107,0.250825953,0.697473410,0.359620810
17.435000000,-0.445900,0.586367844,-0.805730394,0.395637367,0.231989030,0.472454394,0.897624863,0.526338356
17.530000000,0.793022,0.759842814,-0.360736690,0.480214255,0.364887351,0.274103182,0.600613595,0.456371924
17.625000000,0.178016,1.239252096,-0.156249665,0.363091871,0.449962362,0.193632724,0.395284283,0.489856877
17.720000000,-3.337717,4.455475023,-0.027159621,0.162548382,0.724230255,0.121009015,0.164801764,0.734270144
17.815000000,-13.509133,2.642800348,-0.803016727,-0.397719578,1.051093440,-2.122212887,0.896112006,2.368245122
17.910000000,-0.762774,1.056296320,-0.267082747,0.442435931,-0.467343446,-0.282118522,0.516800490,0.545894456
18.005000000,6.381325,0.699866515,-0.117429455,0.321931326,-0.225308955,-0.082184944,0.342679815,0.239830128
18.100000000,11.191945,0.561478157,-0.060267029,0.237980911,-0.133621083,-0.033838620,0.245493439,0.137839204
18.195000000,16.490807,0.507289020,-0.021794574,0.146012227,-0.074070400,-0.011056148,0.147629854,0.074891004
18.290000000,3.821062,0.504444745,-0.407574083,0.491383201,-0.247875673,-0.205598604,0.638415291,0.322045238
18.385000000,13.906679,0.551442812,-0.033440375,0.179783527,-0.099140334,-0.018440455,0.182867097,0.100840746
18.480000000,15.951401,0.675757169,-0.013906525,0.117103089,-0.079133252,-0.009397434,0.117925929,0.079689292
18.575000000,16.916278,0.988219318,-0.005207216,0.071972916,-0.071125026,-0.005145871,0.072161040,0.071310934
18.670000000,16.975917,2.211200808,-0.001025869,0.032012759,-0.070786638,-0.002268403,0.032029192,0.070822975
18.765000000,21.626355,6.738741892,-0.000037857,-0.006152693,-0.041461408,0.000255109,0.006152809,0.041462193
18.860000000,18.268999,1.359626606,-0.002014655,-0.044839676,-0.060965216,0.002739179,0.044884912,0.061026721
18.955000000,17.212984,0.796290625,-0.007490286,-0.086221698,-0.068657530,0.005964444,0.086546436,0.068916115
19.050000000,15.651617,0.601601987,-0.018800085,-0.135818414,-0.081708628,0.011310168,0.137113401,0.082487694
19.145000000,12.300691,0.521398108,-0.054141719,-0.226297136,-0.117990898,0.028229390,0.232683732,0.121320858
19.240000000,31.628233,0.500053888,-0.000687200,-0.026205488,-0.013104156,0.000343637,0.026214497,0.013108661
19.335000000,13.735783,0.526186050,-0.038201731,-0.191682964,-0.100860902,0.020101218,0.195452631,0.102844448
19.430000000,9.210411,0.613861176,-0.079571695,-0.270628972,-0.166128619,0.048845974,0.282084553,0.173160755
19.525000000,3.644481,0.826366300,-0.158178237,-0.364908046,-0.301547712,0.130713164,0.397716276,0.328659328
19.620000000,-6.290742,1.466927664,-0.494534709,-0.499970130,-0.733420014,0.725446646,0.703231618,1.031589915
19.715000000,-7.755910,10.912740137,-0.012521701,0.111197609,1.213470610,0.136646072,0.111900408,1.221140070
19.810000000,-1.051169,1.973743111,-0.081747726,-0.273979990,0.540766118,-0.161349010,0.285915592,0.564323929
19.905000000,0.872740,0.944253363,-0.229344838,-0.420411445,0.396974921,-0.216559635,0.478899612,0.452202569
